position,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G
1,0,0,0,0,0,1,39,1,0,1,62,0
101,0,0,0,0,0,0,0,4,0,1,24,0
201,3,6,1,19,23,105,3,12,0,1,45,9
301,1,2,0,3,0,2,8,3,0,7,7,0
401,0,4,20,1,2,3,5,4,1,0,5,8
501,0,3,0,1,1,1,5,51,0,1,56,0
601,1,24,0,0,29,18,19,10,14,0,60,0
701,1,3,0,0,0,0,3,3,0,0,13,0
801,0,0,0,0,0,5,7,2,0,6,122,0
901,2,42,0,2,0,3,2,0,0,0,9,0
1001,0,1,0,0,3,3,7,2,0,0,14,0
1101,0,2,0,0,0,15,2,9,0,1,19,0
1201,0,3,0,0,0,10,1,6,0,0,18,0
1301,0,0,2,0,3,6,4,0,0,3,61,2
1401,0,0,0,0,0,8,3,0,0,9,29,1
1501,0,7,3,0,1,1,4,35,0,4,16,0
1601,0,5,0,0,0,9,2,0,0,2,19,0
1701,0,7,1,0,0,7,18,3,0,0,14,0
1801,1,9,0,0,3,3,10,3,0,1,11,0
1901,0,12,3,0,2,2,4,1,0,9,24,0
2001,0,9,4,1,1,1,1,1,0,1,13,0
2101,0,1,50,0,0,2,3,1,0,2,19,0
2201,0,8,1,2,1,2,3,2,0,1,5,1
2301,0,1,0,0,0,5,1,13,0,0,2,0
2401,0,2,3,1,0,2,2,6,0,1,43,0
2501,1,6,0,0,0,0,1,1,0,5,11,0
2601,0,3,17,0,0,4,1,0,0,0,4,0
2701,0,2,1,0,0,4,0,1,0,9,13,0
2801,0,21,1,1,0,4,10,2,0,1,1,0
2901,0,7,0,0,0,4,7,1,0,0,311,0
3001,4,2,0,0,27,46,2,4,0,0,26,0
3101,1,2,5,0,0,9,7,3,0,0,21,0
3201,0,6,0,0,0,15,0,1,0,0,38,0
3301,0,1,0,0,1,2,12,11,0,0,20,0
3401,0,3,0,0,0,3,9,33,0,0,3,0
3501,0,10,2,0,1,48,4,1,0,0,3,0
3601,2,2,0,1,1,1,1,4,0,1,26,0
3701,0,6,0,0,0,8,1,0,0,0,66,0
3801,0,7,2,0,0,3,8,3,0,1,13,0
3901,1,28,1,38,1,1,1,0,0,3,10,0
4001,1,2,1,0,0,0,1,1,0,0,51,0
4101,0,9,0,0,15,3,1,11,0,0,13,0
4201,3,1,141,0,0,1,24,7,0,0,17,0
4301,0,18,0,0,0,9,0,2,0,0,37,0
4401,0,4,0,0,1,1,27,0,0,55,11,0
4501,1,3,0,7,0,3,1,1,0,0,9,0
4601,0,0,0,0,2,2,0,0,0,1,9,0
4701,0,3,0,0,0,8,0,1,1,0,20,0
4801,0,2,0,1,0,3,11,0,0,0,18,0
4901,0,4,1,0,0,1,9,2,0,2,22,0
5001,1,2,0,0,0,31,3,3,1,0,13,0
5101,0,0,0,0,1,22,0,24,0,0,21,0
5201,0,11,0,4,0,0,3,3,0,0,65,0
5301,0,2,0,1,1,0,2,8,0,1,17,0
5401,1,7,0,1,1,1,3,0,3,1,5,0
5501,0,12,1,0,25,3,8,21,0,0,20,0
5601,0,1,0,0,0,0,2,0,1,0,15,0
5701,1,3,0,1,1,4,0,0,0,0,14,0
5801,0,2,0,0,0,0,1,0,0,2,36,0
5901,6,16,6,2,3,5,9,2,3,3,7,2
6001,1,3,8,1,0,7,1,2,0,3,20,0
6101,2,2,1,0,2,3,0,2,0,0,13,0
6201,0,6,4,0,0,1,1,0,0,1,5,0
6301,0,3,0,0,0,1,11,1,0,2,11,0
6401,0,4,2,0,0,49,2,3,1,0,29,0
6501,1,0,1,0,0,26,0,4,0,0,23,0
6601,0,3,0,0,0,7,1,0,0,0,39,0
6701,1,6,0,0,2,3,1,0,0,1,22,0
6801,0,0,0,0,0,1,2,4,0,0,23,0
6901,1,2,0,0,1,15,0,2,0,2,14,0
7001,0,2,0,0,0,6,0,1,0,0,18,0
7101,0,1,0,0,0,87,2,0,0,0,48,1
7201,0,0,0,0,0,5,0,2,0,0,6,0
7301,0,0,0,0,21,6,2,44,0,1,24,0
7401,0,1,0,0,0,1,1,1,0,0,4,0
7501,0,2,0,0,0,1,0,0,1,0,15,0
7601,0,1,0,0,0,1,0,18,0,1,1,0
7701,0,6,0,0,2,2,12,3,0,1,83,0
7801,0,0,0,0,1,4,1,1,0,0,23,0
7901,0,1,0,0,0,3,18,12,0,0,51,0
8001,0,5,0,1,0,2,0,19,0,0,18,0
8101,0,7,1,0,1,0,2,3,0,1,5,0
8201,0,3,0,0,0,15,0,0,0,1,18,0
8301,0,4,1,0,0,1,9,23,1,3,14,0
8401,0,1,0,0,0,1,0,0,0,1,3,0
8501,0,2,0,0,0,5,9,5,0,0,41,0
8601,27,6,4,13,0,3,0,0,1,0,61,0
8701,0,1,0,0,3,3,0,0,0,0,24,0
8801,2,0,0,16,0,0,4,1,0,1,9,0
8901,0,1,0,0,0,113,2,0,0,4,128,0
9001,0,0,1,0,115,0,0,19,0,0,21,0
9101,0,3,1,1,3,4,2,4,0,0,61,0
9201,0,17,1,0,18,1,6,10,0,0,21,0
9301,0,1,0,0,0,12,3,0,0,0,8,0
9401,0,9,0,0,0,13,35,0,0,0,124,0
9501,0,2,0,0,0,10,7,1,0,0,20,0
9601,0,3,0,0,1,6,0,7,0,2,23,0
9701,1,1,0,1,0,9,3,2,0,0,4,0
9801,0,0,0,0,0,8,0,2,0,0,19,0
9901,0,0,0,0,0,3,2,0,0,0,8,0
10001,0,1,0,0,0,34,8,0,0,0,20,0
10101,0,0,1,0,0,9,2,0,0,0,60,0
10201,0,3,0,0,0,1,1,1,0,0,16,0
10301,0,10,0,0,0,2,0,6,1,0,14,0
10401,0,18,6,0,1,1,3,1,0,5,36,0
10501,0,6,2,0,0,0,0,1,0,0,27,0
10601,14,48,2,0,0,6,13,6,0,12,8,3
10701,0,1,0,0,0,4,2,0,0,0,71,0
10801,0,2,0,0,0,3,4,18,0,2,9,3
10901,0,1,0,0,0,2,4,0,0,0,14,0
11001,0,0,76,0,2,0,6,0,0,3,9,0
11101,0,3,0,97,0,4,0,2,0,0,19,0
11201,0,25,0,0,2,1,34,8,0,1,244,0
11301,0,27,0,0,0,2,17,3,0,0,46,0
11401,0,9,0,0,0,4,1,1,0,0,69,0
11501,6,11,0,0,0,4,8,11,0,0,25,0
11601,0,0,0,0,0,8,1,3,0,0,26,0
11701,0,6,0,0,0,2,0,2,0,0,49,0
11801,0,1,0,0,0,3,1,5,0,0,12,0
11901,0,7,1,0,1,2,6,0,0,5,17,0
12001,0,0,0,0,0,1,0,13,0,1,22,0
12101,0,0,0,0,0,2,4,1,0,0,15,0
12201,0,2,0,1,0,1,2,1,1,0,6,0
12301,0,3,0,0,0,2,4,0,0,1,5,0
12401,0,5,0,0,0,2,0,0,0,1,9,0
