position,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G
1,12,73,2,19,85,186,59,94,0,19,535,2
101,229,95,20,58,273,209,713,321,68,33,3229,51
201,32,238,45,50,57,1880,552,382,13,92,2814,7
301,41,119,13,86,24,204,665,177,13,158,3754,10
401,11,501,44,199,15,275,527,235,2,57,763,0
501,117,279,25,75,43,399,697,535,10,35,1684,6
601,18,430,27,51,39,922,464,165,4,40,1708,0
701,21,368,27,5,5,167,175,286,5,26,1540,3
801,12,160,17,31,12,317,382,65,3,215,3528,3
901,10,2038,11,37,15,233,564,59,3,210,835,2
1001,95,368,38,53,13,1401,226,79,3,15,2470,1
1101,32,228,42,16,9,550,1219,198,0,49,2514,6
1201,49,841,12,85,23,180,593,798,3,34,2513,3
1301,37,207,55,25,25,446,512,86,5,228,3719,0
1401,11,143,5,68,24,207,457,273,16,78,3146,1
1501,33,416,158,39,11,381,535,160,8,22,2107,0
1601,20,524,79,41,17,301,113,73,2,49,4140,7
1701,3,200,15,24,8,299,328,701,3,50,721,4
1801,10,320,45,24,18,233,1496,85,1,11,1859,49
1901,77,1181,59,21,38,254,3888,159,1,85,2452,54
2001,11,291,8,17,36,325,494,232,5,23,1906,0
2101,5,668,50,17,24,200,425,201,13,64,1749,1
2201,4,346,1434,28,22,314,928,230,4,51,1164,2
2301,35,299,12,15,28,379,276,84,3,36,1386,4
2401,29,553,66,45,38,133,5085,121,6,87,5152,2
2501,24,346,105,17,34,76,420,112,9,24,1353,3
2601,31,297,9,37,13,1053,247,30,6,22,2201,1
2701,9,390,98,1,4,1623,121,125,5,17,148128,2
2801,34,211,216,27,13,113,970,103,4,50,4322,0
2901,30,572,11,31,28,1317,103,54,3,33,9914,5
3001,43,786,85,77,136,443,324,206,5,25,2324,0
3101,39,468,290,22,7,896,208,89,3,39,1507,3
3201,99,478,39,17,33,233,223,196,8,297,1076,13
3301,151,315,189,9,54,214,156,301,0,67,438,0
3401,16,285,23,37,1,186,660,321,7,22,1260,0
3501,13,432,8,30,5,382,653,59,0,58,641,2
3601,413,123,168,26,34,124,247,221,9,88,1412,1
3701,2,122,48,50,37,251,292,111,1,58,2830,22
3801,31,259,87,15,67,351,1000,494,5,108,1652,11
3901,9304,1083,123,25,26,167,124,161,1,26,1121,138
4001,13,308,8,19,390,427,110,22,5,63,2541,1
4101,12,263,11,102,28,207,240,573,9,6,2842,0
