position,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G
1,2,2,0,17,3,6,9,73,0,10,85,1
101,5,17,0,4,4,9,19,21,14,2,111,1
201,42,33,1,10,52,175,48,71,9,6,596,27
301,1,93,1,5,1,117,42,19,0,5,94,2
401,1,22,1,2,4,40,45,18,16,2,28,7
501,3,42,6,8,6,47,50,42,0,6,139,1
601,1,25,3,3,14,12,40,35,1,4,66,1
701,0,12,1,0,1,32,10,9,0,6,62,0
801,0,4,1,3,0,55,19,3,1,4,542,1
901,0,23,5,2,0,10,42,4,1,2,50,1
1001,1,15,0,0,40,16,14,22,1,3,78,0
1101,0,16,3,0,0,79,28,121,0,13,70,0
1201,1,19,1,2,1,37,25,19,1,9,42,0
1301,2,12,0,1,4,19,35,182,0,4,151,0
1401,1,2,7,0,1,8,20,9,0,4,125,0
1501,0,28,37,1,2,49,17,13,0,5,107,0
1601,1,11,1,1,0,16,2,4,0,0,57,0
1701,0,5,1,1,2,8,9,162,0,1,103,1
1801,0,12,2,1,19,39,129,12,0,2,108,1
1901,1,7,6,0,22,53,27,4,0,11,196,0
2001,1,11,2,2,3,16,13,13,0,0,92,0
2101,3,14,0,1,0,14,72,12,0,7,342,0
2201,1,27,2,3,2,64,106,48,0,1,16,0
2301,5,13,0,4,5,8,5,25,0,3,314,0
2401,3,30,7,6,1,50,8,59,0,13,450,0
2501,0,17,0,0,0,3,566,4,0,1,1056,8
2601,11,26,1,0,0,4,7,24,0,2,55,0
2701,1,39,1,0,0,62,4,14,0,3,68,0
2801,0,24,0,3,0,25,18,1,0,2,46,0
2901,2,81,2,3,3,23,23,959,0,2,60,0
3001,5,30,3,1,1,175,32,20,0,3,48,0
3101,12,22,4,2,0,17,11,18,0,2,56,2
3201,4,8,1,0,4,29,22,19,0,10,57,0
3301,0,15,5,2,1,8,26,51,0,1,24,3
3401,3,12,0,1,0,14,30,18,0,0,45,0
3501,0,86,1,2,0,26,12,6,3,1,50,0
3601,2,9,1,0,5,8,8,19,0,11,121,0
