position,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G
1,28,672,2,31,7,17,22,123,1,2,982,2
101,43,57,20,24,9,1079,524,5447,80,17,1407,11
201,12,2521,8,13,78,1138,261,1130,66,13,1628,4
301,10,196,3,12,6,492,279,273,2,15,1436,1
401,3,59,80,53,7,124,570,75,3,43,647,0
501,8,114,6,35,10,283,334,131,1,19,1114,3
601,35,489,9,7,33,399,251,140,2,5,435,0
701,2,239,20,27,1,213,134,43,12,16,1535,6
801,2,156,9,14,2,253,328,31,2,258,2309,57
901,8,190,54,7,7,146,320,71,0,23,615,0
1001,2,101,23,41,5,141,120,153,0,221,1196,15
1101,7,138,11,12,71,558,53,166,4,16,1030,3
1201,68,326,12,4,11,48,79,99,0,19,1077,0
1301,12,353,36,13,80,351,63,196,3,43,901,6
1401,8,753,7,56,36,146,144,88,4,17,1286,0
1501,4,1086,66,12,8,476,160,65,0,11,1419,0
1601,90,247,16,15,16,162,86,254,0,252,1125,1
1701,8,29,7,31,4,271,99,54,0,29,384,0
1801,3,995,30,11,10,98,1604,31,0,5,1191,0
1901,18,168,14,21,7,125,81,22,2,86,1853,1
2001,0,120,39,9,39,136,153,212,0,15,7096,1
2101,4,609,62,7,7,299,96,140,3,444,2848,0
2201,1,3380,18,2688,32,579,161,343,2,74,474,0
2301,4,78,25,7,6,116,416,47,2,9,576,1
2401,15,355,83,2,0,104,172,224,4,14,2530,6
2501,31,189,10,3,1,56,55,28,3,19,2820,0
2601,4,165,16,9,3,100,331,22,0,7,341,0
2701,3,425,28,0,1,902,57,41,13,19,904,0
2801,2,67,126,13,0,419,3845,55,2,6,281,0
2901,3,94,7,33,12,489,134,29,3,27,5179,2
3001,50,495,10,12,7,285,66,74,4,6,963,0
3101,9,301,82,4,2,189,237,148,1,20,3117,1
3201,495,104,5,3,1,135,87,89,1,25,1329,3
3301,484,246,33,10,1,90,214,406,0,9,223,1
3401,11,119,4,90,3,180,633,256,1,39,379,1
3501,3,112,12,2,3,248,781,63,2,15,538,0
3601,46,134,38,43,4,50,178,305,1,81,913,1
3701,1,82,7,18,15,133,846,459,1,50,2384,6
3801,12,696,32,122,34,96,86,160,4,150,1782,0
3901,20,628,702,17,3,52,529,47,1,9,826,0
4001,3,214,81,13,24,73,24,4,10,18,1323,4
4101,3,84,6,6,24,1024,122,195,9,12,982,0
4201,12,259,10,2,11,392,1101,151,3,2,709,0
4301,1,66,68,11,7,47,160,76,3,11,623,0
4401,46,210,12,3,0,56,50,75,2,19,773,1
4501,23,84,13,1307,0,98,123,318,0,19,1113,0
4601,27,55,5,12,46,37,51,7,1,16,1149,3
4701,5,73,11,8,11,594,19,40,1,20,2712,5
4801,20,374,22,4,1,187,17,4,0,14,1214,35
4901,3,2903,173,4,42,154,48,48,2,9,621,0
5001,18,1165,0,54,4,225,200,462,0,2,999,0
5101,0,44,3,27,3,160,438,35,1,186,1267,2
5201,2,84,172,51,7,154,152,80,0,2,631,0
5301,9,70,38,14,1416,209,97,78,1,10,627,0
5401,9,62,56,6,194,112,122,42,0,4,369,0
5501,86,334,195,4,9,46,4911,9282,0,13,2466,1
5601,11,81,5,2,2,99,37,12,0,43,1028,0
5701,11,37,3,2,1,687,22,20,1,2,278,1
5801,10,92,39,1,2,143,376,12,1,8,2253,0
5901,7,25,2,3,2,78,644,347,2,0,1346,0
6001,1,107,37,3,2,91,48,13,0,25,1717,0
6101,3,92,2,6,3,201,148,10,0,5,2053,0
6201,3,49,8,21,5,206,339,26,1,119,453,0
6301,5,286,14,317,8,487,107,349,2,15,1893,0
6401,6,132,27,119,2,370,63,108,0,87,2353,372
6501,11,201,50,24,637,48,59,58,0,22,2654,0
6601,14,292,95,8,6,149,161,40,0,36,1373,5
6701,4,71,0,5,2,103,56,15,2,27,1138,8
6801,1,102,5,1,1,96,89,56,0,79,498,1
6901,5,77,119,13,8,180,41,31,0,6,674,3
7001,26,67,5,21,35,120,101,54,0,60,1602,0
7101,0,11,6,7,9,55,27,5,0,57,846,2
7201,0,74,0,24,5,75,1154,44,0,6,5954,1
7301,1,32,1,18,26,34,199,281,5,6,264,0
7401,8,48,0,3,4,51,12,18,0,0,600,2
7501,2,120,1,12,3,34,69,2,0,8,1088,1
7601,0,57,2,0,2,153,16,180,1,1,96,0
7701,6,60,14,0,2,243,27,40,3,7,2759,0
7801,1,155,3,1,1,239,79,13,1,18,938,0
7901,0,503,3,1,15,86,72,59,15,103,296,0
8001,5,143,23,41,0,91,55,123,0,12,1594,0
8101,3,677,4,7,1,67,282,88,2,13,1369,1
8201,3,203,4,3,0,64,35,17,0,4,1378,0
8301,0,129,2,13,6,304,52,41,1,57,1132,13
8401,6,53,3,3,24,62,53,4,0,70,142,0
8501,11,286,10,6,1,38,134,112,114,6,39,0
8601,4,171,8,15,6,28520,16,51,103,78,641,1
8701,1,51,8,5,10,262,47,15,0,6,435,5
8801,8,165,6,17,0,81,97,22,2,52,1466,1
8901,2,44,0,16,6,69,103,8,0,12,895,0
9001,4,48,1,4,3,148,38,58973,0,5,579,0
9101,2,117,2,22,4,92,75,247,1,171,1075,1
9201,0,181,2,4,28,97,311,32,4,4,454,0
9301,49,52,7,4,2,105,43,30,32,0,118285,0
9401,103,147354,56,19,3,91,343,60,1,16,1504,0
9501,11,77,0,25,5,121,13,212,12,1,1721,1
9601,0,31,3,1,2,219,32,16,1,1,598,0
9701,5,624,0,3,5,217,73,30,1,8,312,5
9801,137,218,2,1,22,443,29,65,0,1,63498,0
9901,15,37,12,6,0,378,35,16,0,6,1447,0
10001,0,415,3,228,4,933,75,2,0,2,340,0
10101,3,51,3,17,2,947,21,35,3,18,30975,0
10201,0,22,7,3,4,251,38,13,3,34,927,3
10301,1,6921,1,8,0,81,217,85,10,14,2982,0
10401,0,32,2394,7,5,35,48,2,0,579,527,0
10501,2,124,8,36,2,108,17,9,17,63,566,2
10601,2,74,0,4,2,221,66,85,1,3,2516,0
10701,2,56,11,4,39,890,16,22,0,7,758,0
10801,13,657,32,280,4,345,24,532,3,11,391,3
10901,2,113,7,1,4,128,128,12,1,2,398,0
11001,1,14,1,3,9,2575,66,123,59,5,1908,0
11101,4,42,0,3,4,148,52,25,2,1,576,5
11201,2,56,6,19,91,88,107,100,2,2,522,0
11301,3,125,1,1,10,75,45,441,0,2,1510,2
11401,0,821,9,1,5,862,86,156,1,9,1346,0
11501,6,139,1,8,84,12041,59,98,3,5,2539,2
11601,0,2,0,11,32,78,110,29,0,5,607,0
11701,4,324,20,3,1,123,74,10,0,11,5093,0
11801,1,120,0,2,9,7,825,22,0,220,211,19
11901,6,101,11,2,6,216,39,11,1,12,824,6
12001,20,125,6,11,10,554,706,7021,5,14,1675,4
12101,5,76,32,6,12,216,74,195,6,14,705,0
12201,2,86,22,5,2,37,68,28,3,4,500,1
12301,12,143,1,7,1,106,165,11,0,0,4511,0
12401,6,164,142,0,0,112,18,17,0,25,1005,0
12501,4,74,10,1,6,87,28,40,0,1,695,0
12601,2,37,7,12,3,45,44,3,1,8,424,0
12701,1,112,3,16,11,144,149,506,0,47,8550,0
12801,0,113,3,1,1,52,93,42,2,35,3231,1
12901,1,91,0,2,0,72,56,4,0,201,1277,0
13001,1,60,5,13,7,100,24,15,1,9,859,0
13101,5,178,3,3,26,42,185,6,5,3,730,0
13201,15,51,2,4,15,208,107,35,3,10,419,1
13301,4,141,5,113,44,393,86,18,1,7,790,2
13401,2,286,1,4,10,186,63,20,0,41,1285,0
13501,3,109,2,2,0,99,13,83,5,3,433,0
13601,4,228,14,4,59,190,287,42,1,8,862,3
13701,16,393,4,2,5,176,182,51,3,3,565,2
13801,142,179,4,20,3,119,565,92,1,2,251,0
13901,4,78,13,0,4,78,20,67,0,9,526,0
14001,7,47,45,12,3,191,20,53,0,5,362,0
14101,66,97,0,7,3,103,125,30,1,16,98540,3
14201,0,378,6,8,2,309,167,60,0,9,347,0
14301,0,32,0,1,2,45,49,14,1,12,423,0
14401,5,57,5,8,4,58948,73,32,0,1,176779,0
14501,0,16,0,22,41,644,19,33,3,8,601,0
14601,0,29,0,525,12,243,21,37,0,13,320,0
14701,2,28,7,7,2,706,37,32,1,5,513,2
14801,0,20,7,5,2,185,13,104,1,9,4022,0
14901,100,23827,25,4,2,377,16,2,0,3,351,0
15001,6,46,4,1,0,50305,47,70,0,4,742,0
15101,1,29,1,2,3,114,324,16,0,1,159,0
15201,5,576,3,2,0,168,12,90,0,14,937,1
15301,0,24,0,23,27,87,24,73,0,7,337,0
15401,8,83,17,1,2,57,178,60,2,15,133,0
15501,2,41,1,15,1,307,30,78,15,10,517,0
15601,127,64,12,0,3,66,53,104,1,20,525,0
15701,0,50,5,1,5,71,17,9,0,17,1382,0
15801,2,177,1,1,0,76,21,10,1,3,191,0
15901,2,68,3,0,1,1293,133,64,1,9,1386,6
16001,0,128,3,12,1,44,5,158,0,5,533,0
16101,1,44,25,0,3,70,39,21,1,8,418,0
16201,3,40,5,33,3,45,48,93,1,3,2334,0
16301,3,24,7,4,1,135,17,23,1,8,3248,1
16401,8,395,17,5,3,395,9,339,2,9,353,1
16501,4,46,3,5,13,58,9,46,1,0,1258,0
16601,2,76,3,1,0,79,92,123,1,27,204,0
16701,0,38,4,18,5,149,207,38,0,5,313,0
