position,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G
1,64,44,3,40,33,469,125,345,2,13,789,2
101,36,174,25,20,16,550,368,834,25,38,2867,5
201,29,420,18,58,124,858,1783,1273,11,76,4334,17
301,29,152,18,44,42,281,625,911,10,39,2547,10
401,44,163,22,176,44,262,557,137,26,305,692,2
501,31,409,25,93,69,334,646,315,9,1369,1923,82
601,14,199,24,31,33,503,556,3206,20,18,1943,2
701,4,238,26,23,8,269,289,80,1,77,1186,0
801,8,101,10,61,34,3509,655,260,2,87,5838,5
901,21,857,21,85,14,255,404,140,9,53,839,0
1001,42,132,21,11,15,246,130,328,4,26,862,0
1101,15,256,40,8,16,818,292,850,5,319,1437,13
1201,26,294,24,18,2,290,474,114,3,34,1903,3
1301,3,392,21,13,29,534,81,61,12,74,1831,0
1401,170,181,20,59,50,180,307,81,8,99,2544,3
1501,27,380,373,13,24,869,407,144,18,21,1565,0
1601,15,238,202,151,16,261,140,59,2,256,1405,7
1701,9,388,86,17,22,217,251,150,0,30,1416,0
1801,24,186,45,62,26,255,753,143,3,25,719,0
1901,6,270,16,891,27,261,373,62,2,96,2789,20
2001,6,282,11,85,18,222,288,148,14,48,1888,3
2101,42,467,28,23,11,160,340,239,9,84,1490,0
2201,19,178,17,75,180,248,499,185,6,37,580,3
2301,22,252,15,8,15,125,169,136,0,21,2222,5
2401,48,340,73,15,7,282,549,112,17,42,2798,3
2501,9,464,30,18,25,96,257,67,1,21,1288,1
2601,26,220,41,16,3,271,130,61,2,12,2254,0
2701,4,110,27,23,5,149,87,326,14,77,89641,6
2801,20,1667,41,24,5,165,1126,151,4,15,1238,1
2901,12,316,12,162,84,508,114,509,2,14,2214,0
3001,35,275,34,185,23,673,778,174,17,28,1265,2
3101,84,558,42,36,19,333,261,132,84,43,1169,5
3201,35,313,148,13,25,273,581,351,11,61,609,9
3301,31,277,78,11,24,237,586,295,14,30,727,0
3401,17,366,21,21,5,270,338,470,13,10,712,2
3501,54,560,23,64,18,177,331,80,11,16,669,1
3601,35,731,33,13,48,266,186,468,11,53,1394,1
3701,5,622,8,8,39,477,434,164,3,32,2248,1
3801,17,519,115,27,94,182,666,185,23,241,1699,3
3901,100,699,113,33,7,152,174,239,7,172,1169,0
4001,12,62,56,84,28,246,65,18,1,46,1388,1
4101,4,201,29,10,39,902,433,519,9,12,1232,0
4201,144,483,24,12,34,137,428,365,13,6,2805,1
4301,8,188,40,14,23,233,120,121,9,23,1266,0
4401,33,341,25,6,0,121,236,49,2,33,3361,0
4501,118,211,20,1058,2,80,286,387,5,43,1510,1
4601,3,102,8,65,14,420,540,37,2,23,705,2
4701,7,115,17,20,35,250,52,19,1,472,1602,6
4801,25,308,22,34,7,192,55,43,47,181,17221,2
4901,11,219,53,5,55,235,146,181,5,75,2451,0
5001,104,114,22,16,31,294,815,171,7,28,1153,0
5101,16,641,3,55,7,208,392,62,3,53,4071,2
5201,14,140,28,26,4,1372,279,157,8,6,2065,1
5301,8,308,111,16,144,116,113,254,7,67,1387,3
5401,9,218,22,27,90,90,130,60,3,22,1097,8
5501,137,423,78,3,234,134,293,807,4,8,1312,2
5601,221,299,19,3,4,270,263,34,0,67,1453,2
5701,19,314,9,12,13,449,37,25,7,7,1016,1
5801,24,393,29,24,5,282,91,20,0,56,2247,0
5901,10,136,21,6,10,440,178,94,5,10,1036,0
6001,8,573,40,11,20,408,99,27,13,92,1646,3
6101,7,112,53,44,30,208,146,32,4,58,3376,0
6201,26,206,22,34,3,496,226,14,7,29,947,3
6301,25,641,51,27,11,456,801,425,14,69,2375,16
6401,17,570,53,20,79,761,368,375,7,102,1484,1
6501,10,256,41,178,16,561,225,127,2,18,2207,0
