position,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G
1,77,131,3,28,53,890,87,164,2,14,683,2
101,54,393,9,42,82,331,661,401,116,66,1813,36
201,38,466,33,77,47,804,511,1141,16,63,3011,26
301,36,239,11,163,20,269,630,513,4,245,2549,2
401,16,273,32,140,25,596,536,147,7,121,675,1
501,22,426,16,117,134,490,1298,1572,11,100,1534,15
601,50,626,31,59,84,303,663,251,11,44,1816,3
701,21,299,30,28,23,255,445,78,10,25,1578,1
801,23,160,16,34,23,357,2326,59,5,95,3783,11
901,5,1159,27,50,15,556,595,100,1,301,1466,1
1001,883,412,34,49,21,267,230,321,2,65,1150,0
1101,26,428,32,51,29,746,674,856,7,97,2619,8
1201,18,393,75,23,28,149,632,199,5,135,1822,5
1301,25,427,35,37,31,253,285,82,11,291,3425,4
1401,9,193,15,178,431,286,313,149,2,78,2783,1
1501,44,554,291,45,19,456,605,774,12,73,4799,1
1601,70,502,279,22,10,579,357,76,35,84,1693,15
1701,22,233,40,55,46,410,424,174,8,33,1031,0
1801,61,372,76,53,42,244,978,297,0,63,936,0
1901,78,397,112,24,40,455,293,75,2,137,3237,4
2001,4,303,19,115,16,475,369,176,16,20,1609,3
2101,90,332,45,35,15,200,458,292,8,102,2023,6
2201,29,378,42,78,21,431,564,295,5,76,875,0
2301,25,186,50,10,26,230,510,155,15,81,3806,13
2401,32,922,56,9,132,445,615,215,4,267,4227,11
2501,25,416,37,9,80,274,268,316,41,38,3293,7
2601,8,232,16,16,3,208,106,171,2,20,2345,0
2701,72,436,37,22,11,138,284,2191,9,112,118573,6
2801,28,332,426,35,9,313,1542,131,7,39,1269,1
2901,27,746,12,77,23,550,138,107,4,40,1419,1
3001,1118,476,57,91,67,438,1157,9920,16,41,1317,70
3101,20,551,43,34,27,362,242,123,22,59,1075,3
3201,97,479,103,23,20,388,652,1667,3,157,1179,5
3301,22,378,230,15,36,329,732,415,3,28,783,1
3401,18,218,41,76,12,268,516,608,4,34,809,2
3501,21,498,33,37,36,626,803,109,4,98,868,2
3601,41,210,70,33,18,253,304,172,20,139,1675,13
3701,29,209,180,31,39,378,139,240,2,297,3013,0
3801,100,522,84,46,50,288,333,402,23,99,2348,3
3901,168,686,186,48,52,196,221,1192,44,59,1021,1
4001,28,117,7,173,57,340,83,48,9,47,3352,1
4101,15,393,60,89,37,235,780,2590,14,6,1718,2
4201,149,181,30,14,18,413,650,873,23,75,2359,5
4301,28,216,199,10,16,518,74,128,5,60,1376,0
4401,23,404,192,5,2,73,169,147,6,36,1351,4
4501,172,397,50,973,9,177,186,215,6,44,2159,13
4601,61,224,26,27,21,306,231,57,2,48,1034,6
4701,24,168,35,37,40,449,39,69,1,40,2819,8
4801,24,205,50,11,19,303,232,52,38,264,4985,14
4901,37,215,46,9,98,238,180,671,8,64,1262,0
5001,45,889,21,29,19,504,347,304,6,10,2077,1
5101,2,367,19,39,24,370,813,149,2,80,2453,2
5201,17,122,18,45,9,1079,110,170,5,4,1647,9
5301,17,112,102,16,95,283,192,99,7,26,1961,2
5401,14,152,23,54,10,142,178,92,4,27,803,7
