position,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G
1,0,0,0,2,0,1,0,3,0,0,14,0
101,0,2,0,2,2,4,0,18,3,0,38,0
201,0,5,1,0,5,16,9,140,0,0,79,0
301,0,2,0,0,0,1,3,5,0,1,63,0
401,0,3,1,0,0,0,5,4,0,1,13,0
501,0,7,0,3,1,3,40,7,0,0,9,0
601,0,5,0,2,117741,13,3,5,0,1,243,0
701,0,4,2,0,0,3,14,49,0,0,19,0
801,0,0,0,0,0,10,8,5,0,2,392,0
901,0,4,0,8,0,4,14,9,0,0,15,0
1001,0,6,0,0,0,23,1,0,0,2,12,0
1101,4,16,0,0,2,11,6,15,0,1,1642,0
1201,0,4,2,0,0,0,1,9,0,2,40,0
1301,0,4,1,0,0,6,2,1,3,1,182,0
1401,0,2,0,0,1,1,10,2,0,2,119,0
1501,0,3,0,0,1,4,32,7,0,5,29,0
1601,0,5,0,1,0,8,1,2,0,2,72,0
1701,0,0,1,1,0,24,9,32,0,1,41,1
1801,0,2,3,1,1,1,8,2,0,2,10,0
1901,0,2,0,2,0,2,4,4,0,1,39,0
2001,1,3,0,1,3,3,3,3,0,0,23,0
2101,0,45,0,1,0,1,2,9,0,0,20,0
2201,0,2,2,0,1,6,3,1,0,0,9,0
2301,0,2,1,0,0,2,2,6,0,0,45,0
2401,0,3,0,0,0,3,58,5,0,1,56,0
2501,3,4,0,0,0,4,11,2,0,3,25,0
2601,2,5,1,3,0,0,4,3,2,0,16,1
2701,0,7,8,1,0,221,3,9,0,0,28,0
2801,0,58629,1,0,0,8,0,7,0,3,13,0
2901,0,12,0,0,4,6,11,18,0,1,137,0
3001,0,9,63,0,0,12,21,0,0,0,11,0
3101,1,4,2,0,1,0,5,3,1,2,32,0
3201,3,8,2,0,0,1,21,6,0,0,13,0
3301,0,1,2,9,0,6,2,29,0,0,12,0
3401,1,5,2,2,0,7,3,3,0,0,4,0
3501,0,6,0,0,0,0,5,1,0,0,2,0
3601,0,6,9,0,0,4,0,5,0,1,37,0
3701,1,0,1,0,1,3,2,4,0,3,27,1
3801,6,2,1,0,0,6,7,25,0,1,36,0
3901,0,7,0,1,0,5,31,19,1,2,177,0
4001,1,10,2,3,7,5,0,0,0,3,32,0
4101,0,10,0,1,0,13,1,27,0,1,23,0
4201,6,17,0,0,0,7,9,12,0,0,22,0
4301,0,2,0,0,0,3,3,2,0,0,88312,0
4401,0,8,4,1,0,0,4,1,0,0,28,0
4501,0,29,0,2,0,1,0,6,0,0,44,0
4601,0,32,0,1,1,4,12,0,0,0,22,0
4701,0,4,0,0,2,1,0,1,0,0,24,0
4801,0,3,0,0,0,2,1,0,0,18,21,0
4901,0,0,1,4,0,12,2,11,3,0,57,0
5001,2,1,0,2,0,54,4,15,2,0,15,0
5101,0,0,1,0,2,4,2,2,0,2,68,0
5201,0,0,0,3,5,0,0,2,0,0,71,0
5301,1,2,0,0,133946,1,3,1,0,11,25,0
5401,0,0,0,3,0,2,0,33,0,0,18,0
5501,0,7110,0,0,0,1,7,2,0,18,11,0
5601,0,1,1,2,0,0,2,3,0,1,32,0
5701,2,0,0,1,0,1,2,5,0,0,21,0
5801,0,3,2,0,0,0,0,1,2,1,467,1
5901,0,3,0,0,1,5,1,3,0,0,23,0
6001,0,3,1,1,0,1,1,3,0,1,10,1
6101,0,7,0,0,1,11,0,1,0,0,15,0
6201,0,6,0,0,1,3,0,0,0,0,10,0
6301,0,5,1,2,1,2,22,18,0,0,26,0
6401,0,5,1,0,0,6,2,587,0,0,547,0
6501,0,127,1,1,0,1,2,11,0,0,388,0
6601,0,17,0,0,1,12,5,1,0,0,89,0
6701,1,2,1,0,0,1,0,8,0,0,1609,0
6801,0,3,2,0,0,1,1,9,0,1,43,0
6901,0,2,2,0,1,6,3,12,0,0,15,0
7001,0,0,0,0,1,3,2,3,0,0,13,0
7101,0,0,0,0,0,14,1,0,0,0,52,0
7201,0,1,0,2,2,5,0,1,0,1,47,1
7301,0,6,1,0,0,2,8,13,0,3,5,0
7401,0,0,0,0,2,3,0,1,0,0,11,0
7501,0,16,0,0,0,3,0,0,0,0,27,0
7601,0,10,0,0,8,10,3,5,1,0,2,0
7701,2,0,2,0,0,7,3,3,0,0,78,0
7801,0,5,0,0,1,2,0,1,0,0,44,0
7901,0,3,0,0,0,3,0,134,0,0,21,0
8001,3,3,1,0,0,13,1,3,0,1,27,0
8101,0,5,0,1,0,3,2,9,0,2,16,0
8201,0,45,0,1,1,0,0,0,0,0,36,0
8301,1,2,0,2,2,0,3,1,0,0,68,0
8401,0,0,0,0,0,2,2,0,0,0,2,0
8501,0,2,0,1,0,0,0,1,0,0,2,0
8601,2,10,0,1,2,906,2,2,0,0,24,0
8701,0,5,0,0,0,2,0,0,0,0,18,0
8801,0,0,0,0,1,1,0,3,0,0,22,0
8901,0,0,0,0,0,0,6,3,0,0,46,0
9001,0,1,0,8,1,19,0,12,0,3,16,0
9101,0,3,0,0,0,9,2,1,0,0,235,0
9201,0,3,1,5,0,8,6,0,0,0,34,0
9301,0,4,0,0,0,69,0,0,0,0,46,4
9401,2,4,5,2,1,0,7,0,0,0,33,0
9501,0,0,0,0,0,20,1,0,0,0,88345,0
9601,1,5,0,0,0,3,0,7,0,0,80,0
9701,0,18,0,0,0,3,3,2,0,0,16,0
9801,0,2,0,0,0,6,5,2,0,0,206420,0
9901,0,4,0,1,1,3,0,0,0,0,14,0
10001,0,2,1,0,0,4,4,0,0,1,31,0
10101,0,2,0,0,1,2,1,2,1,1,176664,0
10201,0,3,0,0,0,2,4,0,0,0,61,0
10301,0,41,0,2,1,1,9,5,0,1,27,0
10401,0,2,0,0,0,2,0,0,0,0,34,0
10501,0,0,0,0,0,4,0,2,0,0,16,0
10601,0,3,0,0,0,19,1,7,0,0,5,0
10701,0,6,1,0,0,7,5,2,0,2,27,1
10801,0,1,0,1,2,2,8,9,0,0,14,0
10901,0,4,0,0,2,2,1,1,0,0,8,0
11001,0,0,0,0,0,2,0,1,0,0,31,0
11101,0,1,0,2,1,3,2,1,0,0,24,0
11201,0,314,0,182,15,8,7,4,0,0,11,0
11301,0,7,0,1,2,35,47,20,0,1,265,0
11401,0,0,0,0,1,6,3,10,0,0,18,0
11501,0,5,0,0,7,47,3,29,0,0,105,0
11601,0,0,0,0,0,108,0,2,0,0,16,0
11701,0,11,1,0,0,1,2,4,0,1,56,0
11801,0,0,1,0,0,5,26,1,0,2,12,0
11901,0,3,0,0,0,7,0,0,0,0,22,0
12001,4,125,1,1,0,0,3,7,0,0,85,0
12101,9,121,0,0,0,1,4,1,0,0,23,0
12201,0,5,0,0,0,1,2,0,0,5,3,0
12301,0,0,0,0,0,0,14,1,0,1,22,0
12401,0,6,1,0,0,2,0,0,0,2,32,0
12501,0,10,4,0,0,0,4,1,0,4,29,0
12601,0,0,0,2,0,0,0,0,0,0,4,0
12701,0,45,0,0,0,9,2,4,0,0,44,0
12801,1,15,0,5,0,2,0,6,0,0,98,0
12901,0,2,0,1,0,5,4,0,0,0,105,0
13001,0,1,0,0,0,3,0,2,0,0,17037,0
13101,0,2,0,0,0,2,11,2,0,0,40,0
13201,0,2,0,0,0,6,2,1,0,0,1,0
13301,0,4,0,1,3,0,0,2,0,9,64,0
13401,0,2,0,0,2,15,9,16,0,5,18,0
13501,0,2,0,0,0,2,0,1,0,0,33,0
13601,2,8,0,0,0,0,0,5,0,1,26,0
13701,0,40,13,1,0,11,7,2,0,0,9,0
13801,1,4,0,0,0,182,15,6,0,0,5,0
13901,0,50,72,138,0,8,80,1,0,0,17,0
14001,0,35,0,1,3,26,3,3,0,1,119,0
14101,0,10,0,1,0,0,2,2,0,0,17,0
14201,0,5,1,0,1,2,2,1,0,1,16,0
14301,0,1,6,0,0,4,0,1,0,0,7,0
14401,0,2,0,3,1,206247,0,0,0,0,4,0
14501,0,0,0,0,0,5,3,1,0,0,8,0
14601,0,0,23,0,1,4,0,2,0,0,17,0
14701,0,1,0,0,0,10,2,1,0,3,12,0
14801,1,1,0,0,1,1,0,125,1,1,31,0
